,name,postcode,latitude,longitude,popularity,price,rating
326,Jolly Butchers,EN1 3JS,51.659445,-0.079876,0.9421161680828776,1.0,6.9
327,The Old Wheatsheaf,EN2 6SE,51.653768,-0.089591,0.9489954603654988,1.0,6.8
328,The Moon Under Water,EN2 6NN,51.658929,-0.087722,0.9622209288790596,1.0,6.7
329,O'Neill's,EN2 6LE,51.651818,-0.081325,0.9542637644046096,1.0,6.4
330,Rose & Crown,EN2 9AJ,51.67126,-0.083766,0.9439972063787684,1.0,7.0
331,Crown & Horseshoes,EN2 6PZ,51.656036,-0.087194,0.9161750669305088,1.0,6.5
332,The Salisbury Arms,N21 3NP,51.63301,-0.103004,0.9744360377138866,1.0,7.1
333,The Stag,EN2 6PH,51.65287,-0.086742,0.9532673728320336,1.0,5.8
334,The Sporting Green,EN3 5JF,51.656702,-0.047118,0.9201489931323478,1.0,6.5
335,The George,EN2 6LE,51.651976,-0.081412,0.0215341636596438,1.0,5.5
338,The Ridgeway Tavern,EN2 8JF,51.662837,-0.10407,0.9384541962518916,1.0,6.2
346,Cutty Sark Tavern,SE10 9PD,51.486376,-0.000292,0.9762891397974623,2.0,8.9
347,Plume of Feathers,SE10 9LZ,51.48197,-0.000874,0.9340635548830172,1.0,8.1
348,The Duke,SE8 3BU,51.481192,-0.020377,0.9642346641834478,2.0,8.6
349,Trafalgar Tavern,SE10 9NW,51.484464,-0.004294,0.990981259457572,2.0,7.9
350,The River Ale House,SE10 0RJ,51.486287,0.013286,0.9931230357350715,1.0,8.7
351,The Vanbrugh,SE10 9EZ,51.483457,0.008083,0.9689977883831916,1.0,8.2
352,Richard the First,SE10 8RT,51.476648,-0.009698,0.9524246304271912,1.0,8.1
353,The Dog & Bell,SE8 3JD,51.483374,-0.02591,0.9761145384704925,1.0,8.7
354,The Gipsy Moth,SE10 9BL,51.48227,-0.009748,0.9784984285880572,2.0,7.8
355,The Greenwich Union,SE10 8RT,51.47643,-0.00974,0.7070701897334419,2.0,8.0
356,Royal Albert,SE14 6TJ,51.4751632,-0.0286207,0.9701105808404143,1.0,8.7
357,The Brookmill,SE8 4EJ,51.470842,-0.022017,0.955807240135025,1.0,8.5
358,Job Centre,SE8 4NS,51.478351,-0.025767,0.923906413688744,1.0,8.2
359,The Bird's Nest,SE8 4RZ,51.476173,-0.02252,0.9388569433127693,1.0,8.1
360,The Pelton Arms,SE10 9PQ,51.486786,0.002794,0.9835711791409616,2.0,7.7
361,The Guildford Arms,SE10 8JY,51.474197,-0.01604,0.9545058782446748,1.0,7.7
362,Greenwich Tavern,SE10 9JH,51.479844,-0.007202,0.983198696310092,1.0,7.4
363,The Ship & Whale,SE16 7LT,51.496846,-0.034081,0.9633849377255268,1.0,8.5
364,Princess of Wales,SE3 0RL,51.469343,0.010453,0.9677546269351648,1.0,8.0
365,Coach & Horses,SE10 9HZ,51.481547,-0.009,0.9795134443021768,1.0,7.2
366,Kings Arms,SE10 9JH,51.480781,-0.008003,0.9573972762192992,1.0,7.1
367,The Ship,E14 3AG,51.487743,-0.01785,0.9682318705622164,1.0,7.4
368,Rose of Denmark,SE7 7AL,51.487224,0.026848,0.9796624374345244,1.0,7.7
369,Ashburnham Arms,SE10 8UH,51.475746,-0.015279,0.9453847049237574,1.0,7.1
370,The Royal Standard,SE3 7JQ,51.476802,0.018752,0.979541380514492,1.0,7.2
371,The Dacre Arms,SE13 5BU,51.461017,0.003367,0.9821906646490514,1.0,7.3
372,Fox & Firkin,SE13 6JZ,51.456978,-0.01409,0.9893702712140612,1.0,7.4
373,Ye Olde Rose & Crown Greenwich,SE10 8ER,51.479438,-0.007815,0.9313770224653708,1.0,6.5
374,The Yacht,SE10 9NP,51.484648,-0.003816,0.9468769642649284,1.0,6.4
375,The Crown,SE3 0BS,51.466605,0.007321,0.9665556978233034,1.0,6.9
376,The Walpole,SE14 6LA,51.476014,-0.033137,0.9132021883366314,1.0,6.9
377,The Ferry House,E14 3DT,51.48654,-0.013367,0.9663857525317192,1.0,6.5
378,The Gate Clock,SE10 9RB,51.481517,-0.010847,0.9905063438482132,1.0,6.4
379,The Observatory,SE10 0DY,51.503961,0.00357,0.9710185077406588,1.0,7.0
380,The Oystercatcher,SE10 9FR,51.482964,-0.014723,0.9429635665231056,1.0,6.4
381,Hardys Freehouse,SE10 9UW,51.483967,0.001441,0.92735420789198,1.0,6.2
382,Enderby House,SE10 0TH,51.490425,0.003124,0.9673705040158304,1.0,6.4
383,Anchor & Hope,SE7 7SS,51.493575,0.02862,0.9629775346292632,1.0,6.8
384,Suttons Radio,SE13 6AA,51.46032,-0.010774,0.8636130834594343,1.0,6.4
385,Admiral Hardy,SE10 9HY,51.481971,-0.009199,0.8663531602840182,1.0,5.6
387,The Brockley Barge,SE4 2RR,51.464126,-0.036442,0.9960121056920032,1.0,6.3
390,Spanish Galleon,SE10 9BL,51.481671,-0.009839,0.8850517983936678,1.0,5.2
391,The Amersham Arms,SE14 6TY,51.475719,-0.032494,0.9645349784658364,1.0,5.9
393,The Railway,SE3 9LE,51.465651,0.008934,0.9692631824001864,1.0,5.9
394,The Wickham Arms,SE4 1TF,51.468624,-0.032697,0.9562588755674544,1.0,6.0
396,The Lord Nelson,E14 3BD,51.487362,-0.013141,0.8469747410080316,1.0,5.2
397,The Watch House,SE13 6JP,51.459952,-0.01173,0.9347316959608892,1.0,5.9
398,Marquis of Granby,SE14 6AG,51.475564,-0.035881,0.9502828541496916,1.0,5.8
406,The Henry Addington,E14 4PH,51.50447,-0.022204,0.9768990804330112,1.0,5.8
408,The Tooke Arms,E14 8NH,51.498207,-0.025564,0.8495355604702596,1.0,5.6
413,O'Neill's,SE3 0BH,51.466742,0.007953,0.9117285531370038,1.0,5.3
