,name,postcode,borough,latitude,longitude,price,rating,popularity,number_of_crimes,number_of_metro,number_of_police,distance_metro,distance_police,metro,police
68,The George,NW3 2AE,London Borough of Camden,51.552332,-0.167195,1.0,7.4,0.9646467233150972,71,1,0.0,281.152867472325,1177.6611746288856,1,0
69,The Clifton,NW8 0JT,City of Westminster,51.535985,-0.184918,1.0,7.6,0.9685508089861484,109,0,0.0,635.9477698306479,1080.6461618300036,0,0
70,North London Tavern Kilburn,NW6 7QB,London Borough of Brent,51.545549,-0.202573,2.0,7.9,0.9916354324292864,125,1,0.0,61.90650163871919,1008.2392979126464,1,0
71,The Pembroke,NW1 8JA,London Borough of Camden,51.542409,-0.154896,1.0,7.1,0.9618903503666628,126,1,0.0,181.1628676554717,1061.233657309305,1,0
72,Duke of Hamilton,NW3 1JD,London Borough of Camden,51.55889,-0.177418,1.0,7.6,0.9874426725643116,25,1,0.0,281.6231315785143,1411.2968137573623,1,0
73,Prince Albert,NW1 0SG,London Borough of Camden,51.539934,-0.137066,1.0,7.4,0.964583866837388,233,1,5.0,291.17054933581755,195.5252146854572,1,1
74,Assembly House,NW5 2TG,London Borough of Camden,51.551025,-0.140492,2.0,7.3,0.9621743685252008,125,1,2.0,64.01940165622042,197.7467519973012,1,1
75,Lore of the Land,W1T 6BB,London Borough of Camden,51.522025,-0.139527,1.0,7.6,0.9645978349435456,177,3,2.0,292.3806249232218,409.0822943292039,1,1
76,Allsop Arms,NW1 5AL,City of Westminster,51.522369,-0.160111,1.0,7.5,0.9806937492724944,118,2,1.0,202.20842510896915,23.23545723395358,1,1
77,The Parcel Yard,N1C 4AH,London Borough of Camden,51.532327,-0.123734,3.0,7.5,0.997623093935514,195,1,0.0,196.17064792255744,722.6459700467399,1,0
78,Devonshire Arms,NW1 8NL,London Borough of Camden,51.540935,-0.142322,2.0,7.1,0.9830403911069724,336,1,5.0,190.81810304601777,176.56165644275686,1,1
79,The Exmouth Arms,NW1 2HR,London Borough of Camden,51.527829,-0.136822,1.0,7.4,0.9714841112792456,210,3,0.0,234.39213250333967,525.7608733331834,1,0
80,The Constitution,NW1 0QT,London Borough of Camden,51.540281,-0.135388,1.0,7.2,0.9253451286229776,173,0,5.0,356.003894960757,280.4110419701398,1,1
81,Warwick Castle,W9 2PX,City of Westminster,51.522021,-0.183867,1.0,7.3,0.9625887556745432,103,2,0.0,142.0500681911114,686.613121652492,1,0
82,The Camden Eye,NW1 9NX,London Borough of Camden,51.53948,-0.142198,1.0,6.9,0.9884763124199744,355,1,5.0,69.47800822384474,160.1518578794781,1,1
